"Rank","Player","Team","Bye","POS","ESPN","Sleeper","CBS","NFL","RTSports","Fantrax","AVG"
"1","Ja'Marr Chase","CIN","10","WR1","1","1","1","1","1","1","1.0"
"2","Bijan Robinson","ATL","5","RB1","2","3","2","2","2","2","2.2"
"3","Saquon Barkley","PHI","9","RB2","3","2","3","4","4","6","3.7"
"4","Jahmyr Gibbs","DET","8","RB3","5","4","4","6","3","4","4.3"
"5","Justin Jefferson","MIN","6","WR2","4","5","6","5","6","3","4.8"
"6","CeeDee Lamb","DAL","10","WR3","6","6","5","3","5","5","5.0"
"7","Christian McCaffrey","SF","14","RB4","7","10","8","11","7","7","8.3"
"8","Amon-Ra St. Brown","DET","8","WR4","9","8","12","8","10","11","9.7"
"9","Malik Nabers","NYG","14","WR5","10","11","11","9","9","9","9.8"
"10","Derrick Henry","BAL","7","RB5","12","7","7","10","12","13","10.2"
"11","Ashton Jeanty","LV","8","RB6","11","12","9","12","8","10","10.3"
"12","Puka Nacua","LAR","8","WR6","8","9","14","7","18","8","10.7"
"13","Nico Collins","HOU","6","WR7","13","13","13","16","11","12","13.0"
"14","De'Von Achane","MIA","12","RB7","14","14","16","14","17","15","15.0"
"15","Brian Thomas Jr.","JAC","8","WR8","16","15","20","13","15","14","15.5"
"16","Josh Jacobs","GB","5","RB8","17","16","10","19","13","21","16.0"
"17","Drake London","ATL","5","WR9","21","17","24","20","19","16","19.5"
"18","Brock Bowers","LV","8","TE1","20","19","23","17","22","17","19.7"
"19","Jonathan Taylor","IND","11","RB9","15","23","21","22","20","19","20.0"
"20","A.J. Brown","PHI","9","WR10","18","18","27","15","23","20","20.2"
"21","Josh Allen","BUF","7","QB1","19","20","15","21","25","24","20.7"
"22","Chase Brown","CIN","10","RB10","24","27","19","27","14","18","21.5"
"23","Bucky Irving","TB","9","RB11","22","22","22","24","16","23","21.5"
"24","Lamar Jackson","BAL","7","QB2","23","21","17","18","24","28","21.8"
"25","Kyren Williams","LAR","8","RB12","29","25","18","25","21","26","24.0"
"26","Ladd McConkey","LAC","12","WR11","30","24","29","23","30","22","26.3"
"27","Trey McBride","ARI","8","TE2","25","28","35","26","28","25","27.8"
"28","James Cook","BUF","7","RB13","32","32","26","30","27","34","30.2"
"29","Tee Higgins","CIN","10","WR12","26","30","32","32","36","29","30.8"
"30","Jayden Daniels","WAS","12","QB3","27","31","30","29","34","36","31.2"
"31","Tyreek Hill","MIA","12","WR13","31","26","39","36","31","30","32.2"
"32","Joe Burrow","CIN","10","QB4","33","36","25","35","37","38","34.0"
"33","Jaxon Smith-Njigba","SEA","8","WR14","37","29","40","39","35","27","34.5"
"34","Jalen Hurts","PHI","9","QB5","28","33","31","34","43","41","35.0"
"35","Omarion Hampton","LAC","12","RB14","39","41","37","45","26","31","36.5"
"36","Alvin Kamara","NO","11","RB15","38","38","28","44","29","43","36.7"
"37","Breece Hall","NYJ","9","RB16","51","35","41","31","32","35","37.5"
"38","George Kittle","SF","14","TE3","35","37","38","38","41","40","38.2"
"39","Mike Evans","TB","9","WR15","42","39","36","33","48","37","39.2"
"40","Terry McLaurin","WAS","12","WR16","36","42","45","28","40","46","39.5"
"41","Garrett Wilson","NYJ","9","WR17","41","34","51","37","45","32","40.0"
"42","Davante Adams","LAR","8","WR18","34","43","34","48","42","39","40.0"
"43","Kenneth Walker III","SEA","8","RB17","47","44","33","40","38","45","41.2"
"44","Marvin Harrison Jr.","ARI","8","WR19","44","40","46","41","44","33","41.3"
"45","Chuba Hubbard","CAR","14","RB18","40","46","44","55","39","49","45.5"
"46","TreVeyon Henderson","NE","14","RB19","48","54","43","54","33","42","45.7"
"47","James Conner","ARI","8","RB20","46","47","42","49","46","54","47.3"
"48","DK Metcalf","PIT","5","WR20","45","45","48","52","54","51","49.2"
"49","DJ Moore","CHI","5","WR21","54","50","52","46","53","44","49.8"
"50","Patrick Mahomes II","KC","10","QB6","43","49","47","42","62","58","50.2"
"51","Courtland Sutton","DEN","12","WR22","58","51","53","56","50","48","52.7"
"52","Sam LaPorta","DET","8","TE4","49","48","58","43","67","56","53.5"
"53","Xavier Worthy","KC","10","WR23","50","57","50","68","56","47","54.7"
"54","D'Andre Swift","CHI","5","RB21","53","68","49","58","47","69","57.3"
"55","DeVonta Smith","PHI","9","WR24","61","55","59","60","61","50","57.7"
"56","Jameson Williams","DET","8","WR25","64","64","64","51","60","53","59.3"
"57","David Montgomery","DET","8","RB22","59","53","57","67","59","62","59.5"
"58","Isiah Pacheco","KC","10","RB23","62","59","65","59","55","67","61.2"
"59","Zay Flowers","BAL","7","WR26","55","56","63","73","69","55","61.8"
"60","Tetairoa McMillan","CAR","14","WR27","68","62","66","72","52","52","62.0"
"61","RJ Harvey","DEN","12","RB24","75","63","55","70","49","63","62.5"
"62","Travis Kelce","KC","10","TE5","57","61","61","57","64","77","62.8"
"63","Baker Mayfield","TB","9","QB7","52","65","54","61","73","74","63.2"
"64","Calvin Ridley","TEN","10","WR28","60","70","67","66","57","60","63.3"
"65","T.J. Hockenson","MIN","6","TE6","56","58","69","50","80","71","64.0"
"66","George Pickens","DAL","10","WR29","65","60","62","75","63","61","64.3"
"67","Aaron Jones Sr.","MIN","6","RB25","71","67","56","77","58","65","65.7"
"68","Tony Pollard","TEN","10","RB26","70","73","60","78","51","68","66.7"
"69","Rashee Rice","KC","10","WR30","69","52","83","47","79","84","69.0"
"70","Travis Hunter","JAC","8","WR31","74","66","84","62","71","59","69.3"
